"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Jeet\App Projects\find_easy\lib\firebase\auth_methods.dart", "Dart", 162, 14, 17, 193
"c:\Users\Jeet\App Projects\find_easy\lib\firebase\firestore_methods.dart", "Dart", 1, 0, 1, 2
"c:\Users\Jeet\App Projects\find_easy\lib\firebase\storage_methods.dart", "Dart", 21, 1, 8, 30
"c:\Users\Jeet\App Projects\find_easy\lib\firebase_options.dart", "Dart", 48, 12, 3, 63
"c:\Users\Jeet\App Projects\find_easy\lib\first_launch_detection.dart", "Dart", 34, 1, 10, 45
"c:\Users\Jeet\App Projects\find_easy\lib\main.dart", "Dart", 164, 5, 7, 176
"c:\Users\Jeet\App Projects\find_easy\lib\models\business_categories.dart", "Dart", 70, 0, 1, 71
"c:\Users\Jeet\App Projects\find_easy\lib\models\category_properties.dart", "Dart", 808, 1, 4, 813
"c:\Users\Jeet\App Projects\find_easy\lib\models\industry_segments.dart", "Dart", 5, 0, 1, 6
"c:\Users\Jeet\App Projects\find_easy\lib\models\membership_pricings.dart", "Dart", 17, 3, 1, 21
"c:\Users\Jeet\App Projects\find_easy\lib\models\user.dart", "Dart", 40, 0, 6, 46
"c:\Users\Jeet\App Projects\find_easy\lib\models\user_provider.dart", "Dart", 13, 0, 4, 17
"c:\Users\Jeet\App Projects\find_easy\lib\page\intro\intro_page_view.dart", "Dart", 109, 0, 8, 117
"c:\Users\Jeet\App Projects\find_easy\lib\page\main\add\add_page.dart", "Dart", 195, 1, 5, 201
"c:\Users\Jeet\App Projects\find_easy\lib\page\main\add\category\add_category.dart", "Dart", 297, 0, 16, 313
"c:\Users\Jeet\App Projects\find_easy\lib\page\main\add\category\category_products_add_page.dart", "Dart", 339, 0, 11, 350
"c:\Users\Jeet\App Projects\find_easy\lib\page\main\add\post\add_post_page.dart", "Dart", 198, 0, 16, 214
"c:\Users\Jeet\App Projects\find_easy\lib\page\main\add\post\select_product_for_post_page.dart", "Dart", 324, 0, 10, 334
"c:\Users\Jeet\App Projects\find_easy\lib\page\main\add\product\add_product_page_1.dart", "Dart", 819, 5, 26, 850
"c:\Users\Jeet\App Projects\find_easy\lib\page\main\add\product\add_product_page_2.dart", "Dart", 1703, 9, 33, 1745
"c:\Users\Jeet\App Projects\find_easy\lib\page\main\comments\all_comments_screen.dart", "Dart", 17, 0, 3, 20
"c:\Users\Jeet\App Projects\find_easy\lib\page\main\main_page.dart", "Dart", 68, 0, 7, 75
"c:\Users\Jeet\App Projects\find_easy\lib\page\main\profile\data\all_categories_page.dart", "Dart", 353, 1, 20, 374
"c:\Users\Jeet\App Projects\find_easy\lib\page\main\profile\data\all_post_page.dart", "Dart", 334, 1, 11, 346
"c:\Users\Jeet\App Projects\find_easy\lib\page\main\profile\data\all_product_page.dart", "Dart", 364, 4, 14, 382
"c:\Users\Jeet\App Projects\find_easy\lib\page\main\profile\details\business_details_page.dart", "Dart", 559, 7, 24, 590
"c:\Users\Jeet\App Projects\find_easy\lib\page\main\profile\details\owner_details_page.dart", "Dart", 452, 2, 17, 471
